cleaned_text,text_cleaned
bukannya sibuk urus program pak pres malah sibuk bahas pilpres,bukan sibuk urus program pak pres malah sibuk bahas pilpres
stop saja program mbgkasih aja orang tuanya pekerjaannyabiar dapat kasih makan anaknya x seharidari program mbg semua cari untung sedangkan anak banyak yg jd korban,stop program mbgkasih orang tua pekerjaannyabiar kasih makan anak seharidari program makan gizi gratis semua cari untung anak banyak jadi korban
negara yg sok tau keperluan anak,negara sok tahu perlu anak
subsidinya gk main triliunan tpi hasil nya kaya gini klo gk efektif mending gak usah deh makan gratis gini buang anggaran,subsidi main triliun hasil nya kaya begini kalau efektif lebih baik gak_usah makan gratis begini buang anggaran
awas ketemu om botak stafsus ntar dimarahi,awas ketemu botak stafsus ntar marah
gak gak pemerintah ga boleh salah ini pasti ada yg salah yang pasti bukan pemerintah titik,gak_gak pemerintah ga_boleh salah salah bukan_pemerintah titik
ya allah semoga adik adik ya sehat ya,allah moga adik adik sehat
makan bergizi di luar negri itu di bkin kek prasmanan dapur nya di sekolah n ada pkrja khusus utk masak n memastikan kebersihan mknan pda saat pengambilan mknan jg ada petugas yg menakrnya,makan gizi luar negri bkin prasmanan dapur nya sekolah pkrja khusus masak pasti bersih mknan pda ambil mknan tugas menakrnya
kalo sudah begini siapa yg salah dan bertanggung jawab,kalau begini siapa salah tanggung jawab
periksa itu orang yg mengurus mbg bukan salah pemerintah tapi salah itu oknum yg tidak bertanggung jawab,periksa orang urus makan gizi gratis bukan_salah pemerintah salah oknum tidak_bertanggung jawab
ok gas ok gas jogetin ajaaaa pemilih,gas gas jogetin ajaa pilih
itu yang menyajikan perlu ditinjau,saji perlu tinjau
program buang uang negara,program buang uang negara
lagian ngapain juga negara repot ngasi makan anak skolah kasi aja ibu bpk nya pekerjaan yg layak nanti jg anak nya di kasi makan terbaik oleh org tua nya,lagi ngapain negara repot ngasi makan anak skolah kasi ibu bpk nya kerja layak anak nya kasi makan baik orang tua nya
sayang bgt terbuang sia sia jd mubajir,sayang sangat buang sia sia jadi mubajir
kalau menurut saya sih harinya per sekola aja masak nya biar ga kewalahan masak nya jadi buru mubazir,kalau hari per kola masak nya biar ga_kewalahan masak nya jadi buru mubazir
jarak kejauhan antara dapur ke sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya di mulai pukul dini hari hingga sampai kesolah dng rentang waktu sampai jam wajar basi,jarak jauh dapur sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya mulai pukul dini hari hingga solah dng rentang waktu jam wajar basi
pendidikan gratis ga akan basi,didik gratis ga_akan basi
lbh baik skolah gratis drpd mbgmk ny wo mikir yg terbaik beri pekerjaan pd para orang tua murid yg rata² pengangguran atau krj serabutan,lbh baik skolah gratis drpd mbgmk mikir baik beri kerja orang tua murid rata anggur krj serabutan
gimana kalo seperti ini deddy corbuzier dan badan gizi nasional,gimana kalau deddy corbuzier badan gizi nasional
jgn gitu ya ntar dedy marah lo,jangan ntar dedy marah
lebih penting pendidikan gratis makan siang gratis,lebih penting didik gratis makan siang gratis
dr tray nya aja plastik ity bukan mbg krn standart program mbg tray nya pake yg stainless,tray nya plastik ity bukan_mbg standart program makan gizi gratis tray nya pakai stainless
sebaikmakanan buat anak adalah yg di buat oleh tangan ibunya,sebaikmakanan buat anak buat tangan ibu
isinya pembenci presiden semua,isi benci presiden semua
yang masak nya gimana itu pangil koki dari jawa sumatra yang masak,masak nya gimana pangil koki jawa sumatra masak
lbh baik turunkan harga sembako dan harga sandang pangan jd tiap klrga mampu kasi anak makaan bergizi walau menu sederhana stidakny mkn lauk sayur dan buah,lbh baik turun harga sembako harga sandang pangan jadi tiap klrga mampu kasi anak maka gizi menu sederhana stidakny makan lauk sayur buah
astagayayasan apa yg kasih makan,astagayayasan apa kasih makan
kebijakan menghamburkan anggaran sudahlah sdh kuduga,kebijakan hambur anggaran sudah duga
perlu diaudit kayak perusahaan jgn disalahin direkturnya bawahannya perlu dipantau ibarat didalam kolam hanya ada ikan kecil perlu dimasukkan ikan besar bahkan hiu biar bisa growup,perlu audit kayak usaha jangan disalahin direktur bawah perlu pantau ibarat dalam kolam ikan kecil perlu masuk ikan besar bahkan hiu biar growup
pantasan negara lain tergiur dgn makan siang gratis prabowo,pantas negara giur makan siang gratis prabowo
kasih dedi makan,kasih dedi makan
perlu dikaji ulang,perlu kaji ulang
pelaksanaan ok tpi kenyataan ya nol dalam kebersihannya,laksana nyata nol bersih
bagus nya sih menu lebih kearah yg tahan lama roti susu atau sayuran juga banyklah yg tahan lama,bagus nya menu lebih arah tahan lama roti susu sayur banyklah tahan lama
bukan kurang matang tapi emang di kasihnya ayam busuk kalii wkwk kasian amat anak anak nya,bukan_kurang matang memang kasih ayam busuk kali kasi anak anak nya
pengawasan suplayer harus penting,awas suplayer penting
makanya tak usah makanan gratislebih baik pendidikan gratis,makanya tak usah makan gratislebih baik didik gratis
program membodohi rakyatdan berpeluang korupsi berjemaah,program bodoh rakyatdan peluang korupsi jemaah
suruh makan cahyadi saja,suruh makan cahyadi
bijaksananya berikan saja uang makan gratis setiap bulannya kepada orang masing² murid spy keluarga yang ngatur sendiri saja makanan berguzi buat anak² mereka,bijaksana ikan uang makan gratis bulan orang masing murid spy keluarga ngatur sendiri makan berguzi buat anak
kan gratis jadi makan saja walaupun makanan tak layak ntar nnti mengeluh ke yg berwajib saja,kan gratis jadi makan walaupun makan tak layak ntar nnti mengeluh wajib
sudah pasti menu hambar tidak sehat krn dana sudah dipotong utk yg ngasih kerjajd penyedia ya masak apa adanya saja,menu hambar tidak_sehat dana potong ngasih kerjajd sedia masak apa ada
makan siang gratis cocok buat bapak,makan siang gratis cocok buat bapak
ya anak harus makan siang siapin untuk ribuan anak masaknya dari dini hari oleh penyedia ya gimana ga basi,anak makan siang siapin ribu anak masak dini hari sedia gimana ga_basi
bgmna tanggapan dedy corbuzier apakah anakanak tetap makan dan diam sja apapun yg dikasih makan sja begitu program yg bagus dan ketika ada masalah perlu disampaikan untuk bahan evaluasi nah kata buzzer tidak usah mengeluh dimna otaknya,bgmna tanggap dedy corbuzier anakanak tetap makan diam apa kasih makan program bagus masalah perlu sampai bahan evaluasi nah kata buzzer tidak_usah mengeluh dimna otak
makan siang gratis kata nya selain membantu siswa dan jua membuka usaha umkm baru namun kurang pengawasan,makan siang gratis kata nya bantu siswa jua buka usaha umkm baru kurang_pengawasan
tapii di sekolah gueh enak njirr,tapi sekolah gueh enak njirr
program dipaksakan harus jalan tanpa konsep yang bagus dan tranparan sehingga banyak oknum yang bermain mulai di tingkat desa sampai kecamatan segera di efaluasi,program paksa jalan konsep bagus tranparan banyak oknum main mulai tingkat desa camat segera efaluasi
yak alloh lg metu makan ber gizi aw kok iso masakan mambu,yak alloh metu makan ber gizi kok iso masakan mambu
itu nama nya makan bergizi aduuuh,nama nya makan gizi aduuh
udh paling bener semua rakyat kasih mentahnya aja buat dmasak dan dmakan bareng,paling benar semua masyarakat kasih mentah buat dmasak dmakan bareng
dimaluku jg menu nya gk berkualitassmpe ada yg keracunan ikan nya bkin gatal dikulit ada yg nasinya keras ada yg blg basi waduh bergizi atau bkin sakit,malu menu nya berkualitassmpe racun ikan nya bkin gatal kulit nasi keras blg basi waduh gizi bkin sakit
progamm nya sudah sangatt bagusss cuman masih banyak pekerja mbg yang membuat makanannya asal²lan jadi harus ada yang benar² mantau,progamm nya sangatt baguss cuma banyak kerja makan gizi gratis buat makan asal lan jadi benar mantau
berikan bantuan uang atau kartu pintar agar makanan dapat disiapkan sendiri,ikan bantu uang kartu pintar makan siap sendiri
mungkin makanan nya dikirim dr jakarta,mungkin makan nya kirim jakarta
jadi pembaziran dana pemerintah,jadi pembaziran dana pemerintah
bare minimum makanan gabasi aja gabisa apalagi mau bergizi,bare minimum makan gabas gabisa mau gizi
menghamburkan anggaran yg gk bermanfaat,hambur anggaran manfaat
yang gak peduli itu ya gurunya dia harus tanggung jawab sebelum disuruh makan murid kan bisa diperiksa dulu sama gurunya,gak_peduli guru tanggung jawab suruh makan murid kan periksa dulu sama guru
mbg akan sllu bermasalahbukannya gk bersyukur tp itu faktanya,makan gizi gratis sllu bermasalahbukannya syukur fakta
artinya yg menag tender pengadaan mkanan itu yg perlu di kejarrr,arti menag tender ada makan perlu kejarr
program omon omon wkkkk,program omon omon wkk
gak kebayang gmn sibuknya para bazzer untuk menjilat berita ini supaya program ini selalu kelihatan bagus dimata kaum bansos,gak_kebayang bagaimana sibuk bazzer jilat berita program selalu lihat bagus mata kaum bantu sosial
sudahhjangan kasi vendor kasi ortu saja,sudahhjangan kasi vendor kasi ortu
pengurusnya yg salah berikan lah proyek knp org yg tulus dan beretika masih banyak yg baik di negeri ini knp mau di salahkan presiden,urus salah ikan lah proyek orang tulus etika banyak baik negeri mau salah presiden
ooh ternyata bukan cuma di sekolah anak saya aja y udah kali anak pertama saya sakit perut habis mbgakhirnya saya bilang kalau kerasa ga enak mah ga usah dimakankalau anak saya yg kedua ga dimakan tapi dimasukan ke misting dibawa pulang dirumah dibuang sekarang anak saya bilang makanan mbg sekarang rasanya aneh,ooh nyata bukan_cuma sekolah anak kali anak pertama sakit perut habis mbgakhirnya bilang kalau rasa ga_enak mah ga_usah dimakankalau anak dua ga_dimakan masuk misting bawa pulang rumah buang sekarang anak bilang makan makan gizi gratis sekarang rasa aneh
kalo sdh begini siapa yg tanggung jawab ini,kalau begini siapa tanggung jawab
sengaja dikasih makann yg sdh basi biar sisa uangnya di korupsi,sengaja kasih makann basi biar sisa uang korupsi
lebih aman bawa bekal dr rumah masing,lebih aman bawa bekal rumah masing
wali negara lain ingin belajar dgn probowo,wali negara ajar probowo
stop sudah biar makanan minuman kmbalikan ke org tua siswa dananya utk hal lain saja,stop biar makan minum kmbalikan orang tua siswa dana
lbh baik pendidikan dan kesehatan gratis lbh jelas,lbh baik didik sehat gratis lbh jelas
mentang mentang makan gratis bahan baku nya basi,mentang mentang makan gratis bahan baku nya basi
tertipuu jendral omon omon,tertipuu jendral omon omon
kocak ya duit ratusan trliun model kya gni,kocak uang ratus trliun model kya gni
kasih paham prabowo,kasih paham prabowo
kalau basi sayur nya masak bumbu nya harus tanek matang jangan setengah matang bumbu sayuran sudah masuk,kalau basi sayur nya masak bumbu nya tanek matang jangan_setengah matang bumbu sayur masuk
oke gas oke gas,baik gas baik gas
program yg salah jangan buat mkn gratis lg tapi pendidikan gratis itu lebih penting,program salah jangan_buat makan gratis didik gratis lebih penting
pemerintah ngga perduli itu di konsumsi atau tidak yang penting vendor tetap di bayar dan vendor nya adalah sebagian terhubung ke pegawai negara siapa yang mau buka data nya,pemerintah ngga duli konsumsi tidak_yang penting vendor tetap bayar vendor nya bagi hubung pegawai negara siapa mau buka data nya
hal seperti ini sangat mungkin terjadi karena masaknys sekala besar,sangat mungkin jadi masaknys sekala besar
ah baru anak kata prabowo,baru anak kata prabowo
bikin defisit negara,bikin defisit negara
mana tanggung jawab pemerintah,mana tanggung jawab pemerintah
waduh jngn protes yantar kena marah dedy corbuzer,waduh jngn protes yantar kena marah dedy corbuzer
knapa pada menyalahkan bpk prabowo pedahal itu bukan bpk prabowo yg masak salahin tuh yg masak nya knapa bisa basi dan hambar,knapa salah bpk prabowo pedahal bukan_bpk prabowo masak salahin masak nya knapa basi hambar
selamat datang di negeri omon omon,selamat datang negeri omon omon
mbg buang biaya ga penting untung anak saya dari sd sy pindahin ke mi walau ga pernah dapat mbg krn pasti basi dan kedaluarsa,makan gizi gratis buang biaya ga_penting untung anak pindahin ga_pernah makan gizi gratis basi kedaluarsa
makanan bergizi makanan beracun,makan gizi makan racun
seharusnya ya si ortu lah yang memiliki kewajiban untuk memberikan makan kepada anakanaknya sedangkan pemerintah wajib untuk memfasilitasi sarana dan prasarana penunjang pendidikan agar kualitas muridmuridnya bagus dan maju pemikirannya,ortu lah milik wajib beri makan anakanaknya pemerintah wajib fasilitas sarana prasarana tunjang didik kualitas muridmuridnya bagus maju pikir
ayamnya juga masih mentah ada daranya rasanya kurang bagus,ayam mentah dara rasa kurang_bagus
sekolah di sambas pemangkat belum ada makan bergizi gratis,sekolah sambas mangkat makan gizi gratis
prabowo banyak negara mahu belajar dari konoha pasal makan bergizi ni hebat program makan bergizi konoha ni,prabowo banyak negara mahu ajar konoha pasal makan gizi hebat program makan gizi konoha
diganti aja yy bagian masak dan yg pengang proyeknya,ganti bagi masak pengang proyek
ank sekolah di klurga sya gksu mkn dari prtama hingga skrg,ank sekolah klurga sya gksu makan prtama hingga sekarang
bersyukur dekmsh bnyk yg g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp demi negara ini demi presiden kita mnjalankan programnyasakit itu adlh nasionalisme,syukur dekmsh banyak makanprog makan gizi gratis adlah mngajarkan kalian bersyukursakit tidak apa apa negara presiden mnjalankan programnyasakit adlh nasionalisme
waduh waswas juga klo mbg seperti ini hasil nya,waduh waswas kalau makan gizi gratis hasil nya
untuk pemerintah indonesia daripada kasih makan gratis ke anak muridmendingan itu uang di pake perbaikibeli fasilitas sekolah,pemerintah indonesia kasih makan gratis anak muridmendingan uang pakai perbaikibeli fasilitas sekolah
nggak pwrlu makan geratis yg perlu sekolah geratis negri sama suwasta itu baru berguna makan geratis nggak ada arti,nggak_pwrlu makan gratis perlu sekolah gratis negri sama suwasta baru guna makan gratis nggak_ada arti
oke gas oke gas,baik gas baik gas
lebih baik org tuanya diberikan uang untuk bekal anknya kesekolahbiar ibunya yg masak dirmh amansehat dan terjamin kebersihannya,lebih baik orang tua beri uang bekal anknya kesekolahbiar ibu masak dirmh amansehat jamin bersih
ini jelas buangbuang anggaran,jelas buangbuang anggaran
berani banget nantangin si botak,berani sangat nantangin botak
maaf menurut sy program ini tidak pas karena apa yg berikan belum tentu cocok dgn selera anak lebih baik buatan org tua sendiri sudah tau apa yg d sukai anak mereka,maaf program tidak_pas apa ikan cocok selera anak lebih baik buat orang tua sendiri tahu apa suka anak
sdh hilang mkn gratis,hilang makan gratis
pantas negara lain nk belajar dgn indonesia,pantas negara ajar indonesia
menurutku mnding dikasih uang ny buat anakatau roti susubuahan yg msih segeritu yg masak ny gmn smpe bsa basi gtujgn salahin presiden,turut mnding kasih uang buat anakatau roti susubuahan msih segeritu masak bagaimana smpe bsa basi gtujgn salahin presiden
mungkin dari cara pengolahannya atau waktu memasaknya kurang tepat,mungkin cara olah waktu masak kurang_tepat
ok gas gas gas sampai mpus,gas gas gas mpus
penyedia makanan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis diulang masak lagi untuk esok harikasihan bocilrs,sedia makan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis ulang masak esok harikasihan bocilrs
mening di kasih uang nya aja sipel,ning kasih uang nya sipel
program gk masuk akal harusnya yg di tekankan sekolah gratis,program masuk akal harus tekan sekolah gratis
siapa tuh yg harus tanggung jawab klo udh kek gini,siapa tanggung jawab kalau begini
kebijakan yg dipaksakandemi janji asal jadi,kebijakan dipaksakandemi janji asal jadi
ironi salah pilih presidenamburadul parah,ironi salah pilih presidenamburadul parah
peluang korupsi yg besar di mgb,peluang korupsi besar mgb
gak ada gunanya ngasih makan siang,gak_ada guna ngasih makan siang
niat dan rencana pemerintah baik tp sampai di bawah eksekusi nya bgni emng susah berniat baik di negara,niat rencana pemerintah baik bawah eksekusi nya bgni emng susah niat baik negara
oiiipresiden hentikan sj itu program makan cukup gratiskan pendidikan dan kesehatan,oiipresiden henti program makan cukup gratis didik sehat
dievaluasi penyelenggaraan nyakk bisa terjadi gini,evaluasi selenggara nyakk jadi begini
mbg makanan basi gratis,makan gizi gratis makan basi gratis
lebih baik uangnya berikan ke pada orang tuanya sajaini lebih tepat sasaran,lebih baik uang ikan orang tua sajaini lebih tepat sasar
kata si ituu makan saja jangan banyak protes,kata ituu makan jangan_banyak protes
oknum yg memanfaatkan situasi,oknum manfaat situasi
seharusnya mbg diberikan khusus anak anak yang orang tuanya kurang mampu,makan gizi gratis beri khusus anak anak orang tua kurang_mampu
sudah terprediksi mulai awal mobilisasi nya saja sdh bisa di prediksi dg route yg panjang mending duit di alihkan sekolah gratis min slta dr pada seperti ini malah muncul masalah baru,prediksi mulai awal mobilisasi nya prediksi route panjang lebih baik uang alih sekolah gratis min slta malah muncul masalah baru
menurut sy akan lebih berharga bila mbg di uangkan dan di berikan kpd ortu siswa,lebih harga bila makan gizi gratis uang ikan ortu siswa
ini gak takut sama letkol,gak_takut sama letkol
kasihan ya coba dengarkan keluhan,kasihan coba dengar keluhan
pemerintah tolong perhatikan,pemerintah perhati
program sia dari pilihan yg sangat tidak pandai dalam memilih calon presiden dan wakil rakyatnya,program sia pilih sangat tidak_pandai pilih calon presiden wakil rakyat
kalau basi kenapa dimakan,kalau basi makan
banyak anak² sekolah tidak mau makan makanan gratis,banyak anak sekolah tidak_mau makan makan gratis
mendingan pendidikan gratis makan gratis biaya mahal gedung sekolah banyak yang memenuhi standar,mending didik gratis makan gratis biaya mahal gedung sekolah banyak penuh standar
yg pentin pemerintah dapat duit,pentin pemerintah uang
sayah pendukung berat anis tp sayah sangat setuju adanya program makan gizi gratis ini mudahhan sampe akhir jabatan prabow,sayah dukung berat anis sayah sangat tuju ada program makan gizi gratis mudahhan sampe akhir jabat prabow
tak mungkin negara yang claims kaya boleh buat mcm tu kepada anak sekolah,tak mungkin negara claims kaya buat mcm anak sekolah
kirim ke pak prabowo aja kow dia tes makanan nya duluitu program nya beliau,kirim pak prabowo kow tes makan nya duluitu program nya beliau
kasian anak buakannya bergizi tapi malah pada sakit,kasi anak bua gizi malah sakit
terlalu cepat di masak,terlalu cepat masak
sekolah ku we ra keduman koe seng wes di kei kok protes,sekolah dum koe seng wes kei kok protes
sekolah gratis yes makan gratis no,sekolah gratis yes makan gratis
bergizi kata bazzer dan,gizi kata bazzer
berarti pengawas gizi gabut gak kerja,arti awas gizi gabut gak_kerja
kalian siihhh di suruh sekolah gratis malah ingin makan gratis dmna² gratis ituyaa kya gitu,kalian siihh suruh sekolah gratis malah makan gratis dmna gratis ituyaa kya
mending uangnya dicairkan lalu diberi bantuan langsung ke anak itu,lebih baik uang cair lalu beri bantu langsung anak
oke ghaz ok ghaz cret cret crettt,baik ghaz ghaz cret cret crett
nikmatin az pilihan klean,nikmatin pilih klean
kalau keracunan semuax pasti kena tapi kalau hanya satu dua orang itu mungkin mereka mmg lagi sakithanya sj pas lagi makan dari mbg,kalau racun semuax kena kalau satu orang mungkin mmg sakithanya makan makan gizi gratis
pentingnya memilih ahli yg benar benar ahlinya,penting pilih ahli benar benar ahli
program mbgpelaksanaan tak sesimple yg dibayangkantapi ya sudahlahbukan urusan kitaurusan pemerintah itu,program mbgpelaksanaan tak sesimple dibayangkantapi sudahlahbukan urus kitaurusan pemerintah
makanya anakku kupesan biar gak mau menerima makanan gratis itu biar itu buat temannya yg brngkat sekolah gak makan,makanya anak pes biar gak_mau terima makan gratis biar buat teman brngkat sekolah gak_makan
hati dek ntar dibilang gak bersyukur,hati dek ntar bilang gak_bersyukur
apapun masakannya pasti masakan ibu yang paling top,apa masakan masakan ibu paling baik
program hanya untuk hbis uang negara sja lbih baik ksih pendidikan gratis sja,program hbis uang negara lbih baik ksih didik gratis
lbh baik gratiskan biaya pendidikan,lbh baik gratis biaya didik
tiap anak juga alergi bedamnding g usah makan gratis,tiap anak alergi bedamnding usah makan gratis
itu karena apa dapurnya hanya satu masaknya untuk banyak kalau mau lebih terarah dapurnya lebih dari satu biar lebih optimal pendapat aja sih,apa dapur satu masak banyak kalau mau lebih arah dapur lebih satu biar lebih optimal dapat
ini siapa kira kira yang bikin makanan gratisnya,siapa kira kira bikin makan gratis
saya mau perotes kenapa dikalimantan timur belum ada makan gratis pas nya dibontang utara guntung sdn bontang utara guntung kenapa belum ada,mau perotes dikalimantan timur makan gratis nya dibontang utara guntung sdn bontang utara guntung
lebih baik hentikan saja mbg krn bikin penghamburan uang kalau kondisi mbg nya kaya begitu,lebih baik henti makan gizi gratis bikin hambur uang kalau kondisi makan gizi gratis nya kaya
bagaimana tdk basimasak saja dari jam satu malam,bagaimana tidak basimasak jam satu malam
sewajarnya ditiap sekolah ada khusus dapur buat masak biar bisa mkn yg segar dan tidak basi biar sehat anak anak indonsia dan semangat sekolah,wajar tiap sekolah khusus dapur buat masak biar makan segar tidak_basi biar sehat anak anak indonsia semangat sekolah
knpa di mkn klu uda tau basi,makan klu uda tahu basi
makanan anak ada kepentingan sebagian orang,makan anak penting bagi orang
apa krna masih panas ya lngsung di masukin ke lunch box nya,apa krna panas lngsung masukin lunch box nya
makanan bergizi harus ada pengawas dr sekolah spy tdk merugikan anak sekolah,makan gizi awas sekolah spy tidak rugi anak sekolah
jujur waktu pemilu kemarin pilihan kalah sedih tp saat ini saya bangga dg pilihanku walau kalah,jujur waktu pilih umum kemarin pilih kalah sedih bangga pilih kalah
itu bukan salah persiden ny salah nya yang bikin makanan ny atau ngatar ny,bukan_salah persiden salah nya bikin makan ngatar
setiap hari pasti banyak yang terbuang karena sering basi kalau ada yang sakit tidak ada,hari banyak buang sering basi kalau sakit tidak_ada
ga bakalan efektiv ngabisin anggaran tapi ga ada dampak positif programnya bagus tapi lebih bagus pendidikan gratis,ga_bakalan efektiv ngabisin anggaran ga_ada dampak positif program bagus lebih bagus didik gratis
