cleaned_text,text_cleaned
perlu diaudit kayak perusahaan jgn disalahin direkturnya bawahannya perlu dipantau ibarat didalam kolam hanya ada ikan kecil perlu dimasukkan ikan besar bahkan hiu biar bisa growup,perlu audit kayak usaha jangan disalahin direktur bawah perlu pantau ibarat dalam kolam ikan kecil perlu masuk ikan besar bahkan hiu biar growup
pantasan negara lain tergiur dgn makan siang gratis prabowo,pantas negara giur makan siang gratis prabowo
kasih dedi makan,kasih dedi makan
perlu dikaji ulang,perlu kaji ulang
pelaksanaan ok tpi kenyataan ya nol dalam kebersihannya,laksana tpi nyata nol bersih
bagus nya sih menu lebih kearah yg tahan lama roti susu atau sayuran juga banyklah yg tahan lama,baik nya sih menu lebih arah tahan lama roti susu sayur banyklah tahan lama
bukan kurang matang tapi emang di kasihnya ayam busuk kalii wkwk kasian amat anak anak nya,bukan kurang matang memang kasih ayam busuk kali wkwk kasi anak anak nya
pengawasan suplayer harus penting,awas suplayer penting
makanya tak usah makanan gratislebih baik pendidikan gratis,makanya tak usah makan gratislebih baik didik gratis
program membodohi rakyatdan berpeluang korupsi berjemaah,program bodoh rakyatdan peluang korupsi jemaah
suruh makan cahyadi saja,suruh makan cahyadi
skolah gratis,skolah gratis
bijaksananya berikan saja uang makan gratis setiap bulannya kepada orang masing² murid spy keluarga yang ngatur sendiri saja makanan berguzi buat anak² mereka,bijaksana ikan uang makan gratis bulan orang masing murid spy keluarga ngatur sendiri makan berguzi buat anak
kan gratis jadi makan saja walaupun makanan tak layak ntar nnti mengeluh ke yg berwajib saja,kan gratis jadi makan walaupun makan tak layak ntar nnti keluh wajib
sudah pasti menu hambar tidak sehat krn dana sudah dipotong utk yg ngasih kerjajd penyedia ya masak apa adanya saja,menu hambar tidak sehat dana potong ngasih kerjajd sedia masak apa ada
makan siang gratis cocok buat bapak,makan siang gratis cocok buat bapak
ya anak harus makan siang siapin untuk ribuan anak masaknya dari dini hari oleh penyedia ya gimana ga basi,anak makan siang siapin ribu anak masak dini hari sedia gimana tidak basi
bgmna tanggapan dedy corbuzier apakah anakanak tetap makan dan diam sja apapun yg dikasih makan sja begitu program yg bagus dan ketika ada masalah perlu disampaikan untuk bahan evaluasi nah kata buzzer tidak usah mengeluh dimna otaknya,bgmna tanggap dedy corbuzier anakanak tetap makan diam apa kasih makan program baik masalah perlu sampai bahan evaluasi nah kata buzzer tidak usah keluh dimna otak
makan siang gratis kata nya selain membantu siswa dan jua membuka usaha umkm baru namun kurang pengawasan,makan siang gratis kata nya bantu siswa jua buka usaha umkm baru kurang awas
tapii di sekolah gueh enak njirr,tapi sekolah gueh enak njirr
program dipaksakan harus jalan tanpa konsep yang bagus dan tranparan sehingga banyak oknum yang bermain mulai di tingkat desa sampai kecamatan segera di efaluasi,program paksa jalan konsep baik tranparan banyak oknum main mulai tingkat desa camat segera efaluasi
yak alloh lg metu makan ber gizi aw kok iso masakan mambu,yak alloh metu makan ber gizi aw kok iso masakan mambu
itu nama nya makan bergizi aduuuh,nama nya makan gizi aduuh
udh paling bener semua rakyat kasih mentahnya aja buat dmasak dan dmakan bareng,paling bener semua rakyat kasih mentah buat dmasak dmakan bareng
dimaluku jg menu nya gk berkualitassmpe ada yg keracunan ikan nya bkin gatal dikulit ada yg nasinya keras ada yg blg basi waduh bergizi atau bkin sakit,malu menu nya gk berkualitassmpe racun ikan nya bkin gatal kulit nasi keras blg basi waduh gizi bkin sakit
progamm nya sudah sangatt bagusss cuman masih banyak pekerja mbg yang membuat makanannya asal²lan jadi harus ada yang benar² mantau,progamm nya sangatt baguss cuma banyak kerja mbg buat makan asal lan jadi benar mantau
berikan bantuan uang atau kartu pintar agar makanan dapat disiapkan sendiri,ikan bantu uang kartu pintar makan siap sendiri
mungkin makanan nya dikirim dr jakarta,mungkin makan nya kirim jakarta
gimana pengawasannya,gimana awas
jadi pembaziran dana pemerintah,jadi pembaziran dana perintah
bare minimum makanan gabasi aja gabisa apalagi mau bergizi,bare minimum makan gabas gabisa mau gizi
menghamburkan anggaran yg gk bermanfaat,hambur anggar gk manfaat
yang gak peduli itu ya gurunya dia harus tanggung jawab sebelum disuruh makan murid kan bisa diperiksa dulu sama gurunya,tidak peduli guru tanggung jawab suruh makan murid kan periksa dulu sama guru
mbg akan sllu bermasalahbukannya gk bersyukur tp itu faktanya,mbg sllu bermasalahbukannya gk syukur tp fakta
artinya yg menag tender pengadaan mkanan itu yg perlu di kejarrr,arti menag tender ada mkanan perlu kejarr
program omon omon wkkkk,program omon omon wkk
gak kebayang gmn sibuknya para bazzer untuk menjilat berita ini supaya program ini selalu kelihatan bagus dimata kaum bansos,tidak bayang bagaimana sibuk bazzer jilat berita program selalu lihat baik mata kaum bansos
sudahhjangan kasi vendor kasi ortu saja,sudahhjangan kasi vendor kasi ortu
pengurusnya yg salah berikan lah proyek knp org yg tulus dan beretika masih banyak yg baik di negeri ini knp mau di salahkan presiden,urus salah ikan lah proyek org tulus etika banyak baik negeri mau salah presiden
ooh ternyata bukan cuma di sekolah anak saya aja y udah kali anak pertama saya sakit perut habis mbgakhirnya saya bilang kalau kerasa ga enak mah ga usah dimakankalau anak saya yg kedua ga dimakan tapi dimasukan ke misting dibawa pulang dirumah dibuang sekarang anak saya bilang makanan mbg sekarang rasanya aneh,ooh nyata bukan cuma sekolah anak kali anak pertama sakit perut habis mbgakhirnya bilang kalau rasa tidak enak mah tidak usah dimakankalau anak dua tidak makan masuk misting bawa pulang rumah buang sekarang anak bilang makan mbg sekarang rasa aneh
kalo sdh begini siapa yg tanggung jawab ini,kalau begini siapa tanggung jawab
sengaja dikasih makann yg sdh basi biar sisa uangnya di korupsi,sengaja kasih makann basi biar sisa uang korupsi
lebih aman bawa bekal dr rumah masing,lebih aman bawa bekal rumah masing
wali negara lain ingin belajar dgn probowo,wali negara ajar probowo
stop sudah biar makanan minuman kmbalikan ke org tua siswa dananya utk hal lain saja,stop biar makan minum kmbalikan org tua siswa dana
lbh baik pendidikan dan kesehatan gratis lbh jelas,lbh baik didik sehat gratis lbh jelas
mentang mentang makan gratis bahan baku nya basi,mentang mentang makan gratis bahan baku nya basi
tertipuu jendral omon omon,tertipuu jendral omon omon
𝚙𝚛𝚘𝚐𝚛𝚊𝚖 𝚒𝚗𝚒 𝚋𝚎𝚕𝚊𝚔𝚞 𝚋𝚊𝚒𝚔 𝚑𝚊𝚗𝚢𝚊 𝚍𝚒 𝚔𝚘𝚝𝚊 𝚋𝚎𝚜𝚊𝚛 𝚍𝚊𝚎𝚛𝚊𝚑 𝚓𝚊𝚠𝚊 𝚋𝚞𝚔𝚊𝚗 𝚍𝚒 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚒𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚖𝚒𝚛𝚒𝚜,              
kocak ya duit ratusan trliun model kya gni,kocak duit ratus trliun model kya gni
kasih paham prabowo,kasih paham prabowo
kalau basi sayur nya masak bumbu nya harus tanek matang jangan setengah matang bumbu sayuran sudah masuk,kalau basi sayur nya masak bumbu nya tanek matang jangan tengah matang bumbu sayur masuk
oke gas oke gas,baik gas baik gas
program yg salah jangan buat mkn gratis lg tapi pendidikan gratis itu lebih penting,program salah jangan buat mkn gratis didik gratis lebih penting
pemerintah ngga perduli itu di konsumsi atau tidak yang penting vendor tetap di bayar dan vendor nya adalah sebagian terhubung ke pegawai negara siapa yang mau buka data nya,perintah ngga duli konsumsi tidak penting vendor tetap bayar vendor nya bagi hubung pegawai negara siapa mau buka data nya
mantul memang,mantap memang
hal seperti ini sangat mungkin terjadi karena masaknys sekala besar,sangat mungkin jadi masaknys sekala besar
di sekolah anakku sd belum ada,sekolah anak sd
ah baru anak kata prabowo,ah baru anak kata prabowo
bikin defisit negara,bikin defisit negara
mana tanggung jawab pemerintah,mana tanggung jawab perintah
waduh jngn protes yantar kena marah dedy corbuzer,waduh jngn protes yantar kena marah dedy corbuzer
knapa pada menyalahkan bpk prabowo pedahal itu bukan bpk prabowo yg masak salahin tuh yg masak nya knapa bisa basi dan hambar,knapa salah bpk prabowo pedahal bukan bpk prabowo masak salahin tuh masak nya knapa basi hambar
selamat datang di negeri omon omon,selamat datang negeri omon omon
mbg buang biaya ga penting untung anak saya dari sd sy pindahin ke mi walau ga pernah dapat mbg krn pasti basi dan kedaluarsa,mbg buang biaya tidak penting untung anak sd pindahin mi tidak pernah mbg basi kedaluarsa
makanan bergizi makanan beracun,makan gizi makan racun
seharusnya ya si ortu lah yang memiliki kewajiban untuk memberikan makan kepada anakanaknya sedangkan pemerintah wajib untuk memfasilitasi sarana dan prasarana penunjang pendidikan agar kualitas muridmuridnya bagus dan maju pemikirannya,si ortu lah milik wajib beri makan anakanaknya perintah wajib fasilitas sarana prasarana tunjang didik kualitas muridmuridnya baik maju pikir
ayamnya juga masih mentah ada daranya rasanya kurang bagus,ayam mentah dara rasa kurang baik
sekolah di sambas pemangkat belum ada makan bergizi gratis,sekolah sambas mangkat makan gizi gratis
prabowo banyak negara mahu belajar dari konoha pasal makan bergizi ni hebat program makan bergizi konoha ni,prabowo banyak negara mahu ajar konoha pasal makan gizi ni hebat program makan gizi konoha ni
diganti aja yy bagian masak dan yg pengang proyeknya,ganti yy bagi masak pengang proyek
ank sekolah di klurga sya gksu mkn dari prtama hingga skrg,ank sekolah klurga sya gksu mkn prtama hingga skrg
bersyukur dekmsh bnyk yg g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp demi negara ini demi presiden kita mnjalankan programnyasakit itu adlh nasionalisme,syukur dekmsh banyak bs makanprog mbg adlah mngajarkan kalian bersyukursakit gpp negara presiden mnjalankan programnyasakit adlh nasionalisme
waduh waswas juga klo mbg seperti ini hasil nya,waduh waswas kalau mbg hasil nya
untuk pemerintah indonesia daripada kasih makan gratis ke anak muridmendingan itu uang di pake perbaikibeli fasilitas sekolah,perintah indonesia kasih makan gratis anak muridmendingan uang pakai perbaikibeli fasilitas sekolah
nggak pwrlu makan geratis yg perlu sekolah geratis negri sama suwasta itu baru berguna makan geratis nggak ada arti,tidak pwrlu makan gerat perlu sekolah gerat negri sama suwasta baru guna makan gerat tidak arti
oke gas oke gas,baik gas baik gas
astagfirullah,astagfirullah
lebih baik org tuanya diberikan uang untuk bekal anknya kesekolahbiar ibunya yg masak dirmh amansehat dan terjamin kebersihannya,lebih baik org tua beri uang bekal anknya kesekolahbiar ibu masak dirmh amansehat jamin bersih
ini jelas buangbuang anggaran,jelas buangbuang anggar
berani banget nantangin si botak,berani banget nantangin si botak
maaf menurut sy program ini tidak pas karena apa yg berikan belum tentu cocok dgn selera anak lebih baik buatan org tua sendiri sudah tau apa yg d sukai anak mereka,maaf program tidak pas apa ikan cocok selera anak lebih baik buat org tua sendiri tau apa suka anak
sdh hilang mkn gratis,hilang mkn gratis
pantas negara lain nk belajar dgn indonesia,pantas negara nk ajar indonesia
menurutku mnding dikasih uang ny buat anakatau roti susubuahan yg msih segeritu yg masak ny gmn smpe bsa basi gtujgn salahin presiden,turut mnding kasih uang ny buat anakatau roti susubuahan msih segeritu masak ny bagaimana smpe bsa basi gtujgn salahin presiden
mungkin dari cara pengolahannya atau waktu memasaknya kurang tepat,mungkin cara olah waktu masak kurang tepat
ok gas gas gas sampai mpus,gas gas gas mpus
penyedia makanan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis diulang masak lagi untuk esok harikasihan bocilrs,sedia makan ala prindavan india sama indonesia tiada bezalebih buruk mknan basi tak habis ulang masak esok harikasihan bocilrs
mening di kasih uang nya aja sipel,ning kasih uang nya sipel
program gk masuk akal harusnya yg di tekankan sekolah gratis,program gk masuk akal harus tekan sekolah gratis
siapa tuh yg harus tanggung jawab klo udh kek gini,siapa tuh tanggung jawab kalau gin
kebijakan yg dipaksakandemi janji asal jadi,bijak dipaksakandemi janji asal jadi
ironi salah pilih presidenamburadul parah,ironi salah pilih presidenamburadul buruk
peluang korupsi yg besar di mgb,peluang korupsi besar mgb
gak ada gunanya ngasih makan siang,tidak guna ngasih makan siang
niat dan rencana pemerintah baik tp sampai di bawah eksekusi nya bgni emng susah berniat baik di negara,niat rencana perintah baik tp bawah eksekusi nya bgni emng susah niat baik negara
oiiipresiden hentikan sj itu program makan cukup gratiskan pendidikan dan kesehatan,oiipresiden henti sj program makan cukup gratis didik sehat
dievaluasi penyelenggaraan nyakk bisa terjadi gini,evaluasi selenggara nyakk jadi gin
mbg makanan basi gratis,mbg makan basi gratis
lebih baik uangnya berikan ke pada orang tuanya sajaini lebih tepat sasaran,lebih baik uang ikan orang tua sajaini lebih tepat sasar
kata si ituu makan saja jangan banyak protes,kata si ituu makan jangan banyak protes
oknum yg memanfaatkan situasi,oknum manfaat situasi
seharusnya mbg diberikan khusus anak anak yang orang tuanya kurang mampu,mbg beri khusus anak anak orang tua kurang mampu
sudah terprediksi mulai awal mobilisasi nya saja sdh bisa di prediksi dg route yg panjang mending duit di alihkan sekolah gratis min slta dr pada seperti ini malah muncul masalah baru,prediksi mulai awal mobilisasi nya prediksi dg route panjang mending duit alih sekolah gratis min slta malah muncul masalah baru
menurut sy akan lebih berharga bila mbg di uangkan dan di berikan kpd ortu siswa,lebih harga bila mbg uang ikan ortu siswa
waduhgini yang ditakuti,waduhgini takut
ini gak takut sama letkol,tidak takut sama letkol
kasihan ya coba dengarkan keluhan,kasihan coba dengar keluh
pemerintah tolong perhatikan,perintah perhati
program sia dari pilihan yg sangat tidak pandai dalam memilih calon presiden dan wakil rakyatnya,program sia pilih sangat tidak pandai pilih calon presiden wakil rakyat
kalau basi kenapa dimakan,kalau basi makan
banyak anak² sekolah tidak mau makan makanan gratis,banyak anak sekolah tidak mau makan makan gratis
mendingan pendidikan gratis makan gratis biaya mahal gedung sekolah banyak yang memenuhi standar,mending didik gratis makan gratis biaya mahal gedung sekolah banyak penuh standar
yg pentin pemerintah dapat duit,pentin perintah duit
sayah pendukung berat anis tp sayah sangat setuju adanya program makan gizi gratis ini mudahhan sampe akhir jabatan prabow,sayah dukung berat anis tp sayah sangat tuju ada program makan gizi gratis mudahhan sampe akhir jabat prabow
tak mungkin negara yang claims kaya boleh buat mcm tu kepada anak sekolah,tak mungkin negara claims kaya buat mcm tu anak sekolah
kirim ke pak prabowo aja kow dia tes makanan nya duluitu program nya beliau,kirim pak prabowo kow tes makan nya duluitu program nya beliau
kasian anak buakannya bergizi tapi malah pada sakit,kasi anak bua gizi malah sakit
terlalu cepat di masak,terlalu cepat masak
sekolah ku we ra keduman koe seng wes di kei kok protes,sekolah ku we ra dum koe seng wes kei kok protes
sekolah gratis yes makan gratis no,sekolah gratis yes makan gratis no
bergizi kata bazzer dan,gizi kata bazzer
berarti pengawas gizi gabut gak kerja,arti awas gizi gabut tidak kerja
kalian siihhh di suruh sekolah gratis malah ingin makan gratis dmna² gratis ituyaa kya gitu,kalian siihh suruh sekolah gratis malah makan gratis dmna gratis ituyaa kya gitu
kesalahan vendor,salah vendor
mending uangnya dicairkan lalu diberi bantuan langsung ke anak itu,mending uang cair lalu beri bantu langsung anak
oke ghaz ok ghaz cret cret crettt,baik ghaz ghaz cret cret crett
nikmatin az pilihan klean,nikmatin az pilih klean
kalau keracunan semuax pasti kena tapi kalau hanya satu dua orang itu mungkin mereka mmg lagi sakithanya sj pas lagi makan dari mbg,kalau racun semuax kena kalau satu orang mungkin mmg sakithanya sj pas makan mbg
pentingnya memilih ahli yg benar benar ahlinya,penting pilih ahli benar benar ahli
program mbgpelaksanaan tak sesimple yg dibayangkantapi ya sudahlahbukan urusan kitaurusan pemerintah itu,program mbgpelaksanaan tak sesimple dibayangkantapi sudahlahbukan urus kitaurusan perintah
makanya anakku kupesan biar gak mau menerima makanan gratis itu biar itu buat temannya yg brngkat sekolah gak makan,makanya anak pes biar tidak mau terima makan gratis biar buat teman brngkat sekolah tidak makan
hati dek ntar dibilang gak bersyukur,hati dek ntar bilang tidak syukur
apapun masakannya pasti masakan ibu yang paling top,apa masakan masakan ibu paling baik
program hanya untuk hbis uang negara sja lbih baik ksih pendidikan gratis sja,program hbis uang negara lbih baik ksih didik gratis
lbh baik gratiskan biaya pendidikan,lbh baik gratis biaya didik
tiap anak juga alergi bedamnding g usah makan gratis,tiap anak alergi bedamnding usah makan gratis
itu karena apa dapurnya hanya satu masaknya untuk banyak kalau mau lebih terarah dapurnya lebih dari satu biar lebih optimal pendapat aja sih,apa dapur satu masak banyak kalau mau lebih arah dapur lebih satu biar lebih optimal dapat sih
mubazir cuy ah,mubazir cuy ah
ini siapa kira kira yang bikin makanan gratisnya,siapa kira kira bikin makan gratis
saya mau perotes kenapa dikalimantan timur belum ada makan gratis pas nya dibontang utara guntung sdn bontang utara guntung kenapa belum ada,mau perotes dikalimantan timur makan gratis pas nya dibontang utara guntung sdn bontang utara guntung
lebih baik hentikan saja mbg krn bikin penghamburan uang kalau kondisi mbg nya kaya begitu,lebih baik henti mbg bikin hambur uang kalau kondisi mbg nya kaya
bagaimana tdk basimasak saja dari jam satu malam,bagaimana tidak basimasak jam satu malam
sewajarnya ditiap sekolah ada khusus dapur buat masak biar bisa mkn yg segar dan tidak basi biar sehat anak anak indonsia dan semangat sekolah,wajar tiap sekolah khusus dapur buat masak biar mkn segar tidak basi biar sehat anak anak indonsia semangat sekolah
knpa di mkn klu uda tau basi,knpa mkn klu uda tau basi
makanan anak ada kepentingan sebagian orang,makan anak penting bagi orang
engk gampang,engk gampang
apa krna masih panas ya lngsung di masukin ke lunch box nya,apa krna panas lngsung masukin lunch box nya
makanan bergizi harus ada pengawas dr sekolah spy tdk merugikan anak sekolah,makan gizi awas sekolah spy tidak rugi anak sekolah
jujur waktu pemilu kemarin pilihan kalah sedih tp saat ini saya bangga dg pilihanku walau kalah,jujur waktu milu kemarin pilih kalah sedih tp bangga dg pilih kalah
itu bukan salah persiden ny salah nya yang bikin makanan ny atau ngatar ny,bukan salah persiden ny salah nya bikin makan ny ngatar ny
