cleaned_text,text_cleaned,sentiment_label,sentiment_score
kan gratis jadi makan saja walaupun makanan tak layak ntar nnti mengeluh ke yg berwajib saja,kan gratis jadi makan walaupun makan tak layak ntar nnti keluh wajib,LABEL_4,0.2622804045677185
sudah pasti menu hambar tidak sehat krn dana sudah dipotong utk yg ngasih kerjajd penyedia ya masak apa adanya saja,menu hambar sehat krn dana potong utk ngasih kerjajd sedia masak apa ada,LABEL_4,0.30220648646354675
makan siang gratis cocok buat bapak,makan siang gratis cocok buat bapak,LABEL_4,0.2924995422363281
ya anak harus makan siang siapin untuk ribuan anak masaknya dari dini hari oleh penyedia ya gimana ga basi,anak makan siang siapin ribu anak masak dini hari sedia gimana basi,LABEL_0,0.2541607618331909
bgmna tanggapan dedy corbuzier apakah anakanak tetap makan dan diam sja apapun yg dikasih makan sja begitu program yg bagus dan ketika ada masalah perlu disampaikan untuk bahan evaluasi nah kata buzzer tidak usah mengeluh dimna otaknya,bgmna tanggap dedy corbuzier anakanak tetap makan diam sja apa kasih makan sja program bagus masalah perlu sampai bahan evaluasi nah kata buzzer usah keluh dimna otak,LABEL_4,0.33636870980262756
makan siang gratis kata nya selain membantu siswa dan jua membuka usaha umkm baru namun kurang pengawasan,makan siang gratis kata nya bantu siswa jua buka usaha umkm baru kurang awas,LABEL_4,0.2944585382938385
tapii di sekolah gueh enak njirr,tapi sekolah gueh enak njirr,LABEL_4,0.25933387875556946
program dipaksakan harus jalan tanpa konsep yang bagus dan tranparan sehingga banyak oknum yang bermain mulai di tingkat desa sampai kecamatan segera di efaluasi,program paksa jalan konsep bagus tranparan banyak oknum main mulai tingkat desa camat segera efaluasi,LABEL_4,0.3430246114730835
yak alloh lg metu makan ber gizi aw kok iso masakan mambu,yak alloh lg metu makan ber gizi aw kok iso masakan mambu,LABEL_4,0.2976371943950653
itu nama nya makan bergizi aduuuh,nama nya makan gizi aduuuh,LABEL_4,0.25756531953811646
udh paling bener semua rakyat kasih mentahnya aja buat dmasak dan dmakan bareng,udh paling bener semua rakyat kasih mentah aja buat dmasak dmakan bareng,LABEL_4,0.2780987024307251
proyek,proyek,LABEL_3,0.27336734533309937
dimaluku jg menu nya gk berkualitassmpe ada yg keracunan ikan nya bkin gatal dikulit ada yg nasinya keras ada yg blg basi waduh bergizi atau bkin sakit,malu jg menu nya gk berkualitassmpe racun ikan nya bkin gatal kulit nasi keras blg basi waduh gizi bkin sakit,LABEL_4,0.33436766266822815
progamm nya sudah sangatt bagusss cuman masih banyak pekerja mbg yang membuat makanannya asal²lan jadi harus ada yang benar² mantau,progamm nya sangatt bagusss cuman banyak kerja mbg buat makan asal lan jadi benar mantau,LABEL_4,0.2919166386127472
berikan bantuan uang atau kartu pintar agar makanan dapat disiapkan sendiri,ikan bantu uang kartu pintar makan siap sendiri,LABEL_4,0.24210521578788757
mungkin makanan nya dikirim dr jakarta,mungkin makan nya kirim dr jakarta,LABEL_4,0.29639434814453125
gimana pengawasannya,gimana awas,LABEL_3,0.25783759355545044
jadi pembaziran dana pemerintah,jadi pembaziran dana perintah,LABEL_3,0.2493446171283722
bare minimum makanan gabasi aja gabisa apalagi mau bergizi,bare minimum makan gabas aja gabisa mau gizi,LABEL_0,0.21607738733291626
menghamburkan anggaran yg gk bermanfaat,hambur anggar gk manfaat,LABEL_4,0.22201736271381378
yang gak peduli itu ya gurunya dia harus tanggung jawab sebelum disuruh makan murid kan bisa diperiksa dulu sama gurunya,peduli guru tanggung jawab suruh makan murid kan periksa dulu sama guru,LABEL_4,0.31207600235939026
mbg akan sllu bermasalahbukannya gk bersyukur tp itu faktanya,mbg sllu bermasalahbukannya gk syukur tp fakta,LABEL_4,0.2998402714729309
artinya yg menag tender pengadaan mkanan itu yg perlu di kejarrr,arti menag tender ada mkanan perlu kejarrr,LABEL_4,0.2783856689929962
program omon omon wkkkk,program omon omon wkkkk,LABEL_4,0.25748589634895325
gak kebayang gmn sibuknya para bazzer untuk menjilat berita ini supaya program ini selalu kelihatan bagus dimata kaum bansos,bayang gmn sibuk bazzer jilat berita program selalu lihat bagus mata kaum bansos,LABEL_4,0.3144054114818573
sudahhjangan kasi vendor kasi ortu saja,sudahhjangan kasi vendor kasi ortu,LABEL_4,0.2591792643070221
pengurusnya yg salah berikan lah proyek knp org yg tulus dan beretika masih banyak yg baik di negeri ini knp mau di salahkan presiden,urus salah ikan lah proyek knp org tulus etika banyak baik negeri knp mau salah presiden,LABEL_4,0.3104642629623413
ooh ternyata bukan cuma di sekolah anak saya aja y udah kali anak pertama saya sakit perut habis mbgakhirnya saya bilang kalau kerasa ga enak mah ga usah dimakankalau anak saya yg kedua ga dimakan tapi dimasukan ke misting dibawa pulang dirumah dibuang sekarang anak saya bilang makanan mbg sekarang rasanya aneh,ooh nyata bukan cuma sekolah anak aja y udah kali anak pertama sakit perut habis mbgakhirnya bilang kalau rasa enak mah usah dimakankalau anak dua makan masuk misting bawa pulang rumah buang sekarang anak bilang makan mbg sekarang rasa aneh,LABEL_4,0.28723394870758057
kalo sdh begini siapa yg tanggung jawab ini,kalo sdh begini siapa tanggung jawab,LABEL_4,0.2786611020565033
sengaja dikasih makann yg sdh basi biar sisa uangnya di korupsi,sengaja kasih makann sdh basi biar sisa uang korupsi,LABEL_4,0.2676602303981781
lebih aman bawa bekal dr rumah masing,lebih aman bawa bekal dr rumah masing,LABEL_4,0.25497305393218994
mubazir,mubazir,LABEL_3,0.2602369785308838
wali negara lain ingin belajar dgn probowo,wali negara ajar probowo,LABEL_3,0.23851242661476135
stop sudah biar makanan minuman kmbalikan ke org tua siswa dananya utk hal lain saja,stop biar makan minum kmbalikan org tua siswa dana utk,LABEL_4,0.3042365312576294
nahkan,nahkan,LABEL_1,0.2468741238117218
lbh baik pendidikan dan kesehatan gratis lbh jelas,lbh baik didik sehat gratis lbh jelas,LABEL_4,0.28921666741371155
mentang mentang makan gratis bahan baku nya basi,mentang mentang makan gratis bahan baku nya basi,LABEL_4,0.2507452070713043
tertipuu jendral omon omon,tertipuu jendral omon omon,LABEL_3,0.25159522891044617
𝚙𝚛𝚘𝚐𝚛𝚊𝚖 𝚒𝚗𝚒 𝚋𝚎𝚕𝚊𝚔𝚞 𝚋𝚊𝚒𝚔 𝚑𝚊𝚗𝚢𝚊 𝚍𝚒 𝚔𝚘𝚝𝚊 𝚋𝚎𝚜𝚊𝚛 𝚍𝚊𝚎𝚛𝚊𝚑 𝚓𝚊𝚠𝚊 𝚋𝚞𝚔𝚊𝚗 𝚍𝚒 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚒𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚖𝚒𝚛𝚒𝚜,              ,LABEL_3,0.25633400678634644
kocak ya duit ratusan trliun model kya gni,kocak duit ratus trliun model kya gni,LABEL_4,0.3100476562976837
kasih paham prabowo,kasih paham prabowo,LABEL_1,0.2266351282596588
kalau basi sayur nya masak bumbu nya harus tanek matang jangan setengah matang bumbu sayuran sudah masuk,kalau basi sayur nya masak bumbu nya tanek matang jangan tengah matang bumbu sayur masuk,LABEL_4,0.26130685210227966
oke gas oke gas,oke gas oke gas,LABEL_3,0.23237797617912292
program yg salah jangan buat mkn gratis lg tapi pendidikan gratis itu lebih penting,program salah jangan buat mkn gratis lg didik gratis lebih penting,LABEL_4,0.29859673976898193
masa alloh,masa alloh,LABEL_3,0.257660448551178
pemerintah ngga perduli itu di konsumsi atau tidak yang penting vendor tetap di bayar dan vendor nya adalah sebagian terhubung ke pegawai negara siapa yang mau buka data nya,perintah ngga duli konsumsi penting vendor tetap bayar vendor nya bagi hubung pegawai negara siapa mau buka data nya,LABEL_4,0.3224097192287445
mantul memang,mantul memang,LABEL_3,0.23891133069992065
hal seperti ini sangat mungkin terjadi karena masaknys sekala besar,sangat mungkin jadi masaknys sekala besar,LABEL_4,0.25356078147888184
di sekolah anakku sd belum ada,sekolah anak sd,LABEL_3,0.27746880054473877
ah baru anak kata prabowo,ah baru anak kata prabowo,LABEL_4,0.22813522815704346
bikin defisit negara,bikin defisit negara,LABEL_3,0.23113659024238586
mana tanggung jawab pemerintah,mana tanggung jawab perintah,LABEL_3,0.21553342044353485
waduh jngn protes yantar kena marah dedy corbuzer,waduh jngn protes yantar kena marah dedy corbuzer,LABEL_4,0.3187893033027649
knapa pada menyalahkan bpk prabowo pedahal itu bukan bpk prabowo yg masak salahin tuh yg masak nya knapa bisa basi dan hambar,knapa salah bpk prabowo pedahal bukan bpk prabowo masak salahin tuh masak nya knapa basi hambar,LABEL_4,0.30948448181152344
selamat datang di negeri omon omon,selamat datang negeri omon omon,LABEL_4,0.2640901505947113
kejam,kejam,LABEL_3,0.28968796133995056
mbg buang biaya ga penting untung anak saya dari sd sy pindahin ke mi walau ga pernah dapat mbg krn pasti basi dan kedaluarsa,mbg buang biaya penting untung anak sd sy pindahin mi pernah mbg krn basi kedaluarsa,LABEL_4,0.31638506054878235
makanan bergizi makanan beracun,makan gizi makan racun,LABEL_3,0.2197924703359604
seharusnya ya si ortu lah yang memiliki kewajiban untuk memberikan makan kepada anakanaknya sedangkan pemerintah wajib untuk memfasilitasi sarana dan prasarana penunjang pendidikan agar kualitas muridmuridnya bagus dan maju pemikirannya,si ortu lah milik wajib beri makan anakanaknya perintah wajib fasilitas sarana prasarana tunjang didik kualitas muridmuridnya bagus maju pikir,LABEL_4,0.30777624249458313
ayamnya juga masih mentah ada daranya rasanya kurang bagus,ayam mentah dara rasa kurang bagus,LABEL_4,0.27183088660240173
sudah kita duga,duga,LABEL_3,0.26684674620628357
sekolah di sambas pemangkat belum ada makan bergizi gratis,sekolah sambas mangkat makan gizi gratis,LABEL_4,0.26117581129074097
prabowo banyak negara mahu belajar dari konoha pasal makan bergizi ni hebat program makan bergizi konoha ni,prabowo banyak negara mahu ajar konoha pasal makan gizi ni hebat program makan gizi konoha ni,LABEL_4,0.3214713931083679
diganti aja yy bagian masak dan yg pengang proyeknya,ganti aja yy bagi masak pengang proyek,LABEL_4,0.24668772518634796
ank sekolah di klurga sya gksu mkn dari prtama hingga skrg,ank sekolah klurga sya gksu mkn prtama hingga skrg,LABEL_4,0.30880555510520935
bersyukur dekmsh bnyk yg g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp demi negara ini demi presiden kita mnjalankan programnyasakit itu adlh nasionalisme,syukur dekmsh bnyk g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp negara presiden mnjalankan programnyasakit adlh nasionalisme,LABEL_4,0.3243919312953949
waduh waswas juga klo mbg seperti ini hasil nya,waduh waswas klo mbg hasil nya,LABEL_4,0.2943934500217438
untuk pemerintah indonesia daripada kasih makan gratis ke anak muridmendingan itu uang di pake perbaikibeli fasilitas sekolah,perintah indonesia kasih makan gratis anak muridmendingan uang pake perbaikibeli fasilitas sekolah,LABEL_4,0.28753459453582764
nggak pwrlu makan geratis yg perlu sekolah geratis negri sama suwasta itu baru berguna makan geratis nggak ada arti,pwrlu makan gerat perlu sekolah gerat negri sama suwasta baru guna makan gerat arti,LABEL_4,0.28256046772003174
oke gas oke gas,oke gas oke gas,LABEL_3,0.23237797617912292
astagfirullah,astagfirullah,LABEL_3,0.2570449411869049
lebih baik org tuanya diberikan uang untuk bekal anknya kesekolahbiar ibunya yg masak dirmh amansehat dan terjamin kebersihannya,lebih baik org tua beri uang bekal anknya kesekolahbiar ibu masak dirmh amansehat jamin bersih,LABEL_4,0.3023620545864105
ini jelas buangbuang anggaran,jelas buangbuang anggar,LABEL_4,0.25894638895988464
berani banget nantangin si botak,berani banget nantangin si botak,LABEL_4,0.2691708505153656
maaf menurut sy program ini tidak pas karena apa yg berikan belum tentu cocok dgn selera anak lebih baik buatan org tua sendiri sudah tau apa yg d sukai anak mereka,maaf sy program pas apa ikan cocok selera anak lebih baik buat org tua sendiri tau apa d suka anak,LABEL_4,0.29656654596328735
sdh hilang mkn gratis,sdh hilang mkn gratis,LABEL_4,0.2547483742237091
pantas negara lain nk belajar dgn indonesia,pantas negara nk ajar indonesia,LABEL_4,0.28013482689857483
menurutku mnding dikasih uang ny buat anakatau roti susubuahan yg msih segeritu yg masak ny gmn smpe bsa basi gtujgn salahin presiden,turut mnding kasih uang ny buat anakatau roti susubuahan msih segeritu masak ny gmn smpe bsa basi gtujgn salahin presiden,LABEL_4,0.28044238686561584
mungkin dari cara pengolahannya atau waktu memasaknya kurang tepat,mungkin cara olah waktu masak kurang tepat,LABEL_4,0.25380656123161316
ok gas gas gas sampai mpus,gas gas gas mpus,LABEL_3,0.25488635897636414
penyedia makanan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis diulang masak lagi untuk esok harikasihan bocilrs,sedia makan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis ulang masak esok harikasihan bocilrs,LABEL_4,0.2981376349925995
mening di kasih uang nya aja sipel,ning kasih uang nya aja sipel,LABEL_4,0.25741323828697205
program gk masuk akal harusnya yg di tekankan sekolah gratis,program gk masuk akal harus tekan sekolah gratis,LABEL_4,0.28484678268432617
siapa tuh yg harus tanggung jawab klo udh kek gini,siapa tuh tanggung jawab klo udh kek gin,LABEL_4,0.2457108348608017
cek pengelola,cek kelola,LABEL_1,0.23755158483982086
kebijakan yg dipaksakandemi janji asal jadi,bijak dipaksakandemi janji asal jadi,LABEL_4,0.279209166765213
